,Title,Price,Location,Bed
1606,"Resort-Inspired Pool and Spa, Barbecue Grills with Dining Area",1635, santa rosa,"1
559ft2"
1607,"Access to Walking Trails, Parks, and Sports Courts, Resident Lounge",1635, santa rosa,"1
559ft2"
1608,Love where you live! 1x1 with washer/dryer in unit! 1st month free!,1635, fairfield / vacaville,"1
713ft2"
1609,"Green-Friendly Community, Convenient Access to Highway 101",1635, santa rosa,"1
559ft2"
1610,Come in & Tour our Gated Community & Get 1st Month FREE!,1635, fairfield / vacaville,"1
713ft2"
1611,Home Sweet Home Here at The Lenox,1640, rohnert pk / cotati,"1
670ft2"
1612,New to San Francisco? Want to live with cool young professionals?,1640, SOMA / south beach,"4
1500ft2"
1613,New to San Francisco? Want to live with cool young professionals?,1640, SOMA / south beach,"4
1500ft2"
1614,1 Bed 1 Bath You will Love!,1640, rohnert pk / cotati,"1
670ft2"
1615,Schedule Your Tour Today!,1640, rohnert pk / cotati,"1
670ft2"
1616,"One Bedroom Apartment Home, Won't last long!",1640, rohnert pk / cotati,"1
670ft2"
1617,NICE 1br1ba APT IN WALKABLE AREA NEAR RAILROAD SQUARE,1640, santa rosa,"1
800ft2"
1618,Home Sweet Home Here at The Lenox,1640, rohnert pk / cotati,"1
670ft2"
1619,Welcome Home! 1 Bedroom 1 Bath,1640, rohnert pk / cotati,"1
670ft2"
1620,Bring your pets! Cats and dogs welcome!,1640, vallejo / benicia,"1
630ft2"
1621,Healthy Lifestyle!,1640, rohnert pk / cotati,"1
670ft2"
1622,President's Day Special*: Last Day to Get 1 Month FREE Rent!,1643, oakland east,NA
1623,►Pre-Lease Cozy Ground Fl Studio ♠ Move in March!,1645, santa clara,295ft2
1624,55+ Community Fremont * One Bedroom Available,1645, fremont / union city / newark,"1
576ft2"
1625,"Beautifully Landscaped Community With Great Amenities, Move In March!",1645, santa clara,295ft2
1626,"Capitola, Spacious 1bd. 1ba., downstairs unit",1645, capitola,1
1627,►→Renovated Studios in Convenient Santa Clara Location←◄,1645, santa clara,295ft2
1628,Tranquility at Victoria Gardens  55+ Community,1645, fremont / union city / newark,"1
577ft2"
1629,Spacious Apartment * 55+ Community * Victoria Gardens Apartments,1645, fremont / union city / newark,"1
577ft2"
1630,Victoria Gardens Apartments * Senior 55+ Community,1645, fremont / union city / newark,"1
577ft2"
1631,Now Available Apartment * 55+ Community * Victoria Gardens Apartments,1645, fremont / union city / newark,"1
577ft2"
1632,One bedroom apt Available 55+ Community*Victoria Gardens Apartments,1645, fremont / union city / newark,"1
577ft2"
1633,Large Remodeled Studio Apartment - Pet Friendly,1645, oakland east,NA
1634,55+ Community Fremont * One Bedroom Available,1645, fremont / union city / newark,"1
577ft2"
1635,Spacious Apartment * 55+ Community * Victoria Gardens Apartments,1645, fremont / union city / newark,"1
591ft2"
1636,Adult 55+ Community * Victoria Gardens Apartments,1646, fremont / union city / newark,"1
577ft2"
1637,Bright and Cheerful Apartment   55+ Adult Community,1647, fremont / union city / newark,"1
577ft2"
1638,"Perfect Location, Make Waterstone Your New Home Today !",1647," Tracy,CA","1
693ft2"
1639,"Flexible Lease Terms Available, 1 Bed ready to Move In Check It Out!!",1647," Tracy,CA","1
693ft2"
1640,Don't Miss out on our Special Call For Details !!,1647," Tracy,CA","1
693ft2"
1641,Leasing Special - ONE MONTH FREE RENT!,1648, fairfield / vacaville,"2
725ft2"
1642,Leasing Special - ONE MONTH FREE RENT!,1648, fairfield / vacaville,"2
725ft2"
1643,"Large 1bd, near 580 fwy, bus lines, and Laurel Shopping, GATED GARAGE",1648, oakland hills / mills,"1
725ft2"
1644,"Head-turning Style, Extraordinary Location. $199 Deposit (OAC)",1648," hercules, pinole, san pablo, el sob","1
704ft2"
1645,The Epicenter of Luxury and Convenience. $199 Deposit (OAC),1648," hercules, pinole, san pablo, el sob","1
704ft2"
1646,Unparalleled Views. Exceptional Style. Nonstop Luxury.,1648," hercules, pinole, san pablo, el sob","1
704ft2"
1647,Studio in  Charming Building / Trestle Glen Area,1649, oakland lake merritt / grand,NA
1648,Avail NOW!  2nd floor 2 BR 1 BA apartment,1650, pittsburg / antioch,"2
800ft2"
1649,1 BD/1BA IN-LAW SUITE WITH PRIVATE ENTRY,1650, willow glen / cambrian,"1
500ft2"
1650,Gorgeous - Live like a Queen/King Near Town & Lafayette BART,1650, lafayette / orinda / moraga,1
1651,"Completely Remolded 1 bedroom 1 bath *Move in special, $400 off first",1650, santa rosa,"1
755ft2"
1652,Studio for Rent,1650, west marin,NA
1653,Unique Private Studio Unit with Private Entrance,1650, san jose downtown,NA
1654,Bright 1 Bedroom Unit w/ Spacious Living Room,1650, oakland east,1
1655,Large 2/1 adjacent to SRJC Campus,1650, santa rosa,"2
900ft2"
1656,Attractive 2/1 near SRJC,1650, santa rosa,2
1657,Cute studio unit in the heart of Berkeley welcomes UC Students 2451,1650, berkeley,400ft2
1658,"Santa Cruz, 157 Franklin Street #30 Nice upstairs corner unit",1650, santa cruz,NA
1659,2 Bedroom Apt in SW Santa Rosa,1650, santa rosa,2
1660,Short/Long trm-Nice SF beachfront share-Gym-W/D-view-Free coffee daily,1650, richmond / seacliff,"2
1200ft2"
1661,2br / 1ba - Apartment - 1135 Slater Street #11,1650, santa rosa,2
1662,2 bed/1 bath NE Santa Rosa,1650, santa rosa,NA
1663,Napa-Two Bedroom One Bath Upstairs Apartment,1650, napa county,2
1664,Luxurious Living in Woodcreek West,1650,NA,2
1665,1 Bdrm 1 Bath Apt-Livermore**AVAILABLE*,1650, dublin / pleasanton / livermore,"1
571ft2"
1666,Cozy 1 Bedroom Apartment for Rent,1650, santa rosa,1
1667,**BERKELEY*ONE BEDROOM*CLOSE TO DOWNTOWN BERKELEY**,1650, berkeley,1
1668,"In-law unit 1 Bed 1 Bath at 549 1/2 Laswell Ave., San Jose, CA 95128",1650, san jose west,"1
425ft2"
1669,Detached 2 bedroom unit,1650, richmond / point / annex,"2
580ft2"
1670,Studio Apt Downtown SJ,1650, san jose downtown,550ft2
1671,Available from March 25: No Lease Furnished Room,1650, palo alto,"1
2803ft2"
1672,1 Bedroom Apartment for Rent,1650, santa rosa,"1
575ft2"
1673,1 Bedroom Apartment for Rent,1650, santa rosa,"1
626ft2"
1674,West Sebastopol One Bedroom Apament Rental,1650, sebastopol,"1
500ft2"
1675,Available from March 25 : Lease Free Fully Furnished Room,1650, palo alto,"1
2803ft2"
1676,Studio,1650, sunnyvale,1
1677,Furnished studio with private bath and kitchenette,1650, glen park,400ft2
1678,Aptos Cute Cottage Available.,1650, aptos,"1
400ft2"
1679,Charming 1 bedroom McDonald Mansion area unit,1650, santa rosa,1
1680,Upstairs 2 bedroom Fitch Mountain Duplex,1650, healdsburg / windsor,2
1681,Stunningly Beautiful House w/Unbelievable Amenities,1650, oakland north / temescal,1
1682,3 Bed 1 Bath Walk to Vallejo Ferry in Architectural Heritage,1650, vallejo / benicia,"3
1000ft2"
1683,Downtown Arts District - Shady and Private 1 BR/1 BA,1650, santa rosa,1
1684,Updated! Great Location! Pet Friendly! $1650-$1725,1650, fairfield / vacaville,"2
850ft2"
1685,Don't Miss Out! Low Rents! 1 B/r with a VIEW!,1650, san leandro,"1
700ft2"
1686,**Tranquil & Private Setting in Moraga**,1650, lafayette / orinda / moraga,1
1687,"Apartment for rent in St. Helena, CA",1650, napa county,1
1688,If you need a place to hit the ground running- We're still looking!,1650, richmond / seacliff,"2
1200ft2"
1689,"Carpet, Walk In Closets, Pet Friendly, Close to Ferry and Freeways",1650, vallejo / benicia,"2
870ft2"
1690,"1st FLOOR 1X1; RENOVATED FLOORS, APPLIANCES, CABINETS+FRESH PAINT!",1650, concord / pleasant hill / martinez,720ft2
1691,**Tranquil & Private Setting in Moraga**,1650, lafayette / orinda / moraga,1
1692,One Month Free!!! 1 BR/1BA Renovated Apartment in Concord!,1650, concord / pleasant hill / martinez,NA
1693,Brand New Fully Furnished Studio Suite all utilities included!,1650, fremont / union city / newark,200ft2
1694,1BR 1Ba In-law near USF,1650, USF / panhandle,1
1695,One bedroom apartment for rent,1650, san jose west,1
1696,$1650 1 Bedroom In-Law,1650, daly city,1
1697,"Act now, your new apartment home is ready for move in!",1650, fairfield / vacaville,"2
850ft2"
1698,COTTAGE AVAILABLE IN FORMER MOUNTAIN RESORT,1650, Los Gatos/Santa Cruz mountains,1
1699,Your new apartment home is waiting!!!,1650, fairfield / vacaville,"2
850ft2"
1700,"1 bedroom unit, Upper Lever, Nice View, LOW RENTS",1650, san leandro,"1
700ft2"
1701,Calistoga Lovely Garden Studio,1650, napa county,1
1702,Fully Furnished Master 1BR/1BA in 4BR/3.5BA Townhouse For Rent,1650, sunnyvale,"1
225ft2"
1703,Available from March 25: Fully Furnished Room,1650, palo alto,"1
2803ft2"
1704,✨Updated 1BD  in Desirable Point Richmond Near New Ferry Terminal!,1650, richmond / point / annex,1
1705,Just One Left! 2x2 Apply at www.shastaterrace.com,1650, fairfield / vacaville,"2
850ft2"
1706,"Carpet, Walk In Closets, Pet Friendly, Close to Ferry and Freeways",1650, vallejo / benicia,"2
870ft2"
1707,$1650 / 1br - Downtown Arts District - Shady and Private 1 BR/1 BA (sa,1650, santa rosa,1
1708,Garden Studio Apartment with Yard Available Now,1650, burlingame,NA
1709,Great Commuting Location Remodeled 1 Bed 1 Bath,1650, hayward / castro valley,"1
750ft2"
1710,2 BD 1 BA in Oakland,1650, 7448 Lockwood St Apt B,2
1711,Find Your Way Home!,1650, dublin / pleasanton / livermore,"1
640ft2"
1712,Gorgeous - Live like a Queen/King Near Town & Lafayette BART,1650, concord / pleasant hill / martinez,1
1713,"Available from March 25 : Fully Furnished, No Lease Room",1650, palo alto,"1
2803ft2"
1714,主卧套房 Private Master Suite+Dinning+Kitchen+Utility,1650, cupertino,"1
410ft2"
1715,Studio Downtown Berkeley,1650, berkeley,300ft2
1716,1x1 Newly Renovated unit in Vacaville! W/D in unit!,1650, fairfield / vacaville,"1
642ft2"
1717,SHORT TERM (3 months) rental 1BR/1BA Upstair unit,1650, sunnyvale,NA
1718,"Available from March 25 : Fully Furnished, No Lease Room",1650, palo alto,2803ft2
1719,The Terrace at 445 Main Street Studio Apartment,1650, watsonville,400ft2
1720,Private Large Master Bedroom/Walk-in Closet/Dual Sinks,1650, milpitas,1
1721,1x1 Newly Renovated unit in Vacaville! W/D in unit!,1650, fairfield / vacaville,"1
642ft2"
1722,STUDIO Apt. in Willow Glen: HW Floors. Kitchen w/Granite Counters!,1650, willow glen / cambrian,NA
1723,1x1 Newly Renovated unit in Vacaville! W/D in unit!,1650, fairfield / vacaville,"1
642ft2"
1724,Charming Studio,1650, santa cruz,NA
1725,"****2 BEDROOMS, 1 BATH***",1650, vallejo / benicia,2
1726,$1650-$1725 Ready for move in! Make Shasta Terrace your next home!!,1650, fairfield / vacaville,2
1727,✨Updated 1BD  in Desirable Point Richmond Near New Ferry Terminal!,1650, berkeley,1
1728,✨Updated 1BD  in Desirable Point Richmond Near New Ferry Terminal!,1650, emeryville,1
1729,✨Updated 1BD  in Desirable Point Richmond Near New Ferry Terminal!,1650, richmond / point / annex,1
1730,"1 bdrm, downstairs apartment. Apply online! MOVE IN SPECIAL",1650, santa rosa,"1
650ft2"
1731,"1 bdrm, upstairs apartment. Apply online! MOVE IN SPECIAL",1650, santa rosa,"1
650ft2"
1732,2 Bedroom Apartment in Arroyo Viejo District,1650, oakland east,2
1733,Studio for Rent near Santana Row/Valley Fair,1650, san jose west,450ft2
1734,Beautiful St. Vincent's Hill unit overlooking the Mare Island Strait,1650, vallejo / benicia,1
1735,Beautiful Studio by the Beach! (furnished or unfurnished),1650, aptos,700ft2
1736,"Beautiful 2x1,  Pet Friendly, Close to transportation and ferries.",1650, vallejo / benicia,"2
870ft2"
1737,2 BR apt / IMMEDIATELY / CLEAN / nr Clayton Rd Exit,1650, concord / pleasant hill / martinez,"2
630ft2"
1738,1 bedroom apt near bart and downtown,1650, san leandro,1
1739,1x1 Newly Renovated unit in Vacaville! W/D in unit!,1650," 1701 Marshall Rd Vacaville, CA","1
642ft2"
1740,Duplex available now,1650, san jose south,"1
600ft2"
1741,Remodeled sunny/small studio with outdoor patio in North Oakland,1650, oakland north / temescal,375ft2
1742,1 Bed Room/1 Bath Gem for Rent in South Sebastopol,1650, sebastopol,1
1743,COTTAGE AVAILABLE IN FORMER MOUNTAIN RESORT,1650, Los GatosSanta Cruz Mountains,1
1744,1x1 Newly Renovated unit in Vacaville! W/D in unit!,1650, fairfield / vacaville,"1
642ft2"
1745,Move-In Ready!!! Apply Today!!!,1650, fairfield / vacaville,"2
850ft2"
1746,large studio for Rent,1650, hayward / castro valley,NA
1747,Tranquil Treetop Condo,1650, concord / pleasant hill / martinez,"1
680ft2"
1748,Available from March 25 : Furnished Sublet Available,1650, palo alto,"1
2803ft2"
1749,in law berkely hills,1650, berkeley north / hills,"1
250ft2"
1750,"Last Unit Available! Don't Miss Out! 1 br/1 bath, LOW RENT~!",1650, san leandro,"1
700ft2"
1751,✨Updated 1BD  in Desirable Point Richmond Near New Ferry Terminal!,1650, berkeley,1
1752,✨Updated 1BD  in Desirable Point Richmond Near New Ferry Terminal!,1650, emeryville,1
1753,✨Updated 1BD  in Desirable Point Richmond Near New Ferry Terminal!,1650, richmond / point / annex,1
1754,$100 off 1st month rent*Move in special* 1 bedroom apartment,1650, santa rosa,1
1755,2 Bed 1 Bath in Oakland,1650, 7448 Lockwood St Apt A,2
1756,"F furnished Hotel style, Point Richmond -San Francisco Berkeley Rafael",1650," 2 blks f DT Point Richmond, ultra safe","1
725ft2"
1757,Updated Sunnyvale Studio Move in by March 1st!,1650, sunnyvale,352ft2
1758,"Private furnished bedroom, bathroom and entrance FOR RENT!",1650, oakland hills / mills,NA
1759,"1BR/1Bath Unit, Fully Furnished *Separate Entry Unit*",1650, fremont / union city / newark,"1
650ft2"
1760,Studio in Los Gatos,1650, los gatos,350ft2
1761,COTTAGE AVAILABLE IN FORMER MOUNTAIN RESORT,1650, Los GatosSanta Cruz Mountains,1
1762,Cozy and comfortable studio in Berkeley Hills,1650, berkeley north / hills,1
1763,One Bedroom Apartment in Central Alameda,1650, alameda,1
1764,"Special Preview on Saturday March 2nd, remodeled 1 BR/1BA!",1650, concord / pleasant hill / martinez,1
1765,Open Room in Presidio Officer's Home,1650, laurel hts / presidio,NA
1766,"Newly renovated clubhouse, Short Term Housing Available, Bocce",1653, pittsburg / antioch,"1
644ft2"
1767,►Spacious Studio in Montclair Hills with Short Commute to SF!,1654, oakland piedmont / montclair,NA
1768,►►Spacious Studio in Montclair Hills with Short Commute to SF!,1654, oakland hills / mills,NA
1769,►Spacious Studio in Montclair Hills with Short Commute to SF!,1654, oakland piedmont / montclair,NA
1770,►►Spacious Studio in Montclair Hills with Short Commute to SF!,1654, oakland hills / mills,NA
1771,►►►Spacious Studio in Montclair Hills with Short Commute to SF,1654, oakland rockridge / claremont,NA
1772,►Spacious Studio in Montclair Hills with Short Commute to SF!,1654, oakland piedmont / montclair,NA
1773,►►►Spacious Studio in Montclair Hills with Short Commute to SF,1654, oakland rockridge / claremont,NA
1774,Newly Renovated 1BR/1BA Apt. in a Community with a Year-Round Hot Tub,1654, pittsburg / antioch,"1
612ft2"
1775,LOOK NO FURTHER WE HAVE WHAT YOU NEED!,1655, pittsburg / antioch,"1
658ft2"
1776,1 MONTH FREE ♥ STUDIOS NEAR LAKE MERRITT AREA! APPLY NOW!,1655, oakland lake merritt / grand,203ft2
1777,"1 MO FREE RENT!!! NEAR BEAUTIFUL LAKE MERRITT, PARAMOUNT & FOX THEATER",1655, oakland lake merritt / grand,203ft2
1778,"Scenic park area with benches, Central heating and air, Breakfast bars",1657," Tracy,CA","1
693ft2"
1779,Spacious 1 bedroom available in Great Location Come take a tour !!,1657," Tracy,CA","1
693ft2"
1780,Don't Miss out only 1 Left !!,1657," Tracy,CA","1
693ft2"
1781,Wow Don't Miss our Special Call for Details !!,1657," Tracy,CA","1
693ft2"
1782,Don't Miss out on our Special Call For Details !!,1657," Tracy,CA","1
693ft2"
1783,"1BD 1BA, Electric ranges, Situated in Tracy!",1657," Tracy, CA","1
693ft2"
1784,Get Warm In Your New Home-One Month Free!!,1657," Tracy, CA","1
693ft2"
1785,Newly Renovated 1BR/1BA Apt. in a Community with a Year-Round Hot Tub,1659, pittsburg / antioch,"1
612ft2"
1786,We love your pets!,1660, vallejo / benicia,"1
630ft2"
1787,ONE BEDROOM FOR GOOD PRICE,1660, pittsburg / antioch,"1
642ft2"
1788,LOOK NO FURTHER WE HAVE WHAT YOU NEED!,1660, pittsburg / antioch,"1
658ft2"
1789,Coming Available in MARCH,1660, vallejo / benicia,"1
630ft2"
1790,LOOK NO FURTHER WE HAVE WHAT YOU NEED!,1660, pittsburg / antioch,"1
658ft2"
1791,Love Where you Live! Newly Renovated 2 bd with Washer/Dryer Combo!,1660, fairfield / vacaville,2
1792,Live Like You Want. That’s Our Anthem. $199 OAC Deposit Special.,1664," hercules, pinole, san pablo, el sob","1
704ft2"
1793,"1BD 1BA, Oval Roman soaking tub in master bath, Spa/Hot Tub",1664," Tracy, CA","1
750ft2"
1794,"For relaxing garden views, come home to IMT Pleasant Hill!",1665, concord / pleasant hill / martinez,415ft2
1795,The prime location you've been waiting for! Beautiful Studio!,1665, concord / pleasant hill / martinez,415ft2
1796,LOOK NO FURTHER WE HAVE WHAT YOU NEED!,1665, pittsburg / antioch,"1
658ft2"
1797,Moving to Austin? 4 Month Lease Available,1666," Austin, TX. Close to eBay","2
1100ft2"
1798,FLASH!!! $99 SPECIAL!! 3rd flr vaulted ceiling 1B/1B!!! Move in ready!,1669, concord / pleasant hill / martinez,"1
552ft2"
1799,COME SEE YOUR NEW HOME TODAY!!,1670, pittsburg / antioch,"2
872ft2"
1800,"Central heating and A/C, Easy Access to BART, Highway 4 and 680",1671, pittsburg / antioch,"1
644ft2"
1801,March Madness Special: Move in by March and Get 1 Month FREE!,1673, oakland east,1
1802,"1 Bedroom 1 bath apartment, located in central San Jose",1675, san jose south,1
1803,"L@@K  Comfortable, Clean & Affordable",1675, san jose west,"1
610ft2"
1804,Cozy - Studio! Close to public Transit! Last 1!!,1675, oakland west,350ft2
1805,Great Suitcase ready share-Amazing SF Location-Great Value-Has it All!,1675, richmond / seacliff,"2
1250ft2"
1806,Still looking-Flexible terms-A Nice and Relaxed share-Gym-W/D-Views!,1675, richmond / seacliff,"2
1250ft2"
1807,A great share option on the Great Hwy-Furnished w/ Comfort and Style!,1675, richmond / seacliff,"2
1250ft2"
1808,Enjoy living where the Ocean meets the Golden Gate Park-Roommate Share,1675, richmond / seacliff,"2
1250ft2"
1809,Beautifully Remodeled San Rafael 1-BR with Parking,1675, san rafael,"1
600ft2"
1810,Walk to downtown 1bed/1bath,1675, santa rosa,"1
800ft2"
1811,Beautiful Senior Apartments in Glenview district,1675, oakland piedmont / montclair,"1
550ft2"
1812,Furnished Studio for Rent w/all Utilities Included,1675, san jose east,"1
400ft2"
1813,Furnished Studio for Rent w/all Utilities Included,1675, san jose downtown,"1
400ft2"
1814,Furnished Studio for Rent w/all Utilities Included,1675, san jose south,"1
400ft2"
1815,Available One Bedroom Apartment 55+ Community Victoria Gardens Apts,1675, fremont / union city / newark,"1
577ft2"
1816,Cloverdale - Spacious Loft Style 2 Bedroom Apartment,1675, santa rosa,"2
1600ft2"
1817,"A Great Option-2br, 2bth share-Suitcase ready and really nice",1675, richmond / seacliff,"2
1200ft2"
1818,Supreme Residences for a Modern Lifestyle. $199 OAC Deposit.,1675," hercules, pinole, san pablo, el sob","1
704ft2"
1819,"Three Pool/Spa Locations, Covered Parking, Additional Storage, View",1675, vallejo / benicia,"2
825ft2"
1820,Enjoy our dog-coffee-Golden Gate Park-Beachfront Share-Still Searching,1675, richmond / seacliff,"2
1201ft2"
1821,Enjoy our dog-coffee-Golden Gate Park-Beachfront Share-Still Searching,1675, richmond / seacliff,"2
1200ft2"
1822,Furnished Studio for Rent w/all Utilities Included,1675, santa clara,"1
400ft2"
1823,Furnished Studio for Rent w/all Utilities Included,1675, San Jose,"1
400ft2"
1824,Enjoy our dog-coffee-Golden Gate Park-Beachfront Share-Still Searching,1675, richmond / seacliff,"2
1200ft2"
1825,CALL NOW AND SCHEDULE A TOUR WITH US!!!!,1675, vallejo / benicia,"2
825ft2"
1826,Excellent everything but still looking for the awesome roommate share!,1675, richmond / seacliff,"2
1200ft2"
1827,Small quiet complex- Redwood Blvd.,1675, novato,"1
600ft2"
1828,Micro Studios Nob Hill -Move In Now - February! Low Security Deposit!,1675, nob hill,165ft2
1829,Small Studio w/Renovated Kitchen across from UCB,1675, berkeley,NA
1830,"Courtesy Patrol, View, 24 Hour Emergency Maintenance, Disposal, Patio",1675, vallejo / benicia,"2
825ft2"
1831,"$500 off move in!Amazing location,adorable studio! Flexible lease term",1675, aptos,430ft2
1832,"$500 off move in!Amazing location,adorable studio! Flexible lease term",1675, aptos,430ft2
1833,COMING SOON 240 River St. #5 (04/01/2019),1675, santa cruz,460ft2
1834,COMING SOON 04/01/2019,1675, scotts valley,1
1835,STUDIO Downtown Napa-Available now!,1675, napa county,NA
1836,Private Cottage with a View,1675, Benicia,"1
685ft2"
1837,"24-Hour Fitness Center and Racquetball Court, Tanning Bed, BBQ Area",1675, pittsburg / antioch,"1
644ft2"
1838,Central location/remodeled studio/onsite manager $500 Rebate!,1675, lower nob hill,350ft2
1839,"Lwr flr unit in clean quiet bldg, elevator, res mgr. $500 rent rebate",1675, lower nob hill,350ft2
1840,$500 move in special! Amazing location !,1675, aptos,430ft2
1841,New with a View. $199 Deposit Special (OAC),1678," hercules, pinole, san pablo, el sob","1
704ft2"
1842,Now Leasing! Instant Cool Factor. $199 Deposit (OAC),1678," hercules, pinole, san pablo, el sob","1
704ft2"
1843,"HAYWARD IMMACULATE, QUITE 1 BEDROOM APARTMENT",1680, hayward / castro valley,"1
675ft2"
1844,Nice studio in choice location,1680, burlingame,450ft2
1845,"Good Location,  Large, Remodeled in a Quiet Richmond Neighborhood",1680, richmond / point / annex,"1
900ft2"
1846,AMAZING DEAL! $1680 immediate move in! 24hr state of the art gym!!,1680, fairfield / vacaville,"1
885ft2"
1847,Spacious 1-BR Modern Townhouse near downtown Petaluma,1680, petaluma,"1
650ft2"
1848,Two Bedroom**CALL TODAY,1681, pittsburg / antioch,"2
839ft2"
1849,CALL TODAY,1681, pittsburg / antioch,"2
839ft2"
1850,"Resort-style pool and spa with cabanas, Spa/Hot Tub, Built-in desks",1682," Tracy,CA","1
693ft2"
1851,Avail Now 1 bed 1 bth Spacious & Gorgeous Lay outs Come Check us Out !,1682," Tracy,CA","1
693ft2"
1852,President's Day Special*: Last Day to Get 1 Month FREE Rent!,1683, oakland east,1
1853,Fantastic 1 BR Unit in Prime Location!!!,1683, oakland east,1
1854,March Madness Special: Move in by March and Get 1 Month FREE!,1683, oakland east,1
1855,"In-law space, Newer 1BR/1 Large Bath Private attached space for rent",1685, novato,"1
500ft2"
1856,Niles one bedroom cottage,1685, fremont / union city / newark,1
1857,AMAZING DEAL!! $1685 FOR 974SQFT! PLUS DEN! Prime location!,1685, fairfield / vacaville,"1
974ft2"
1858,Newly renovated 2 Bedroom Apartment now available,1688, pittsburg / antioch,2
1859,獨1房New remodeled Private studio close to Downtown San Francisco,1688, portola district,NA
1860,Large 2 Bedroom Duplex - Luther Burbank Area,1690, santa rosa,"2
980ft2"
1861,Ocean view Studio FURNISHED on private estate - La Selva Beach,1690, aptos,350ft2
1862,Newly Remodeled One Bed One Bath Apartment for Rent in Alameda,1690, alameda,"1
600ft2"
1863,Come home to IMT Pleasant Hill! Studio available!,1690, concord / pleasant hill / martinez,380ft2
1864,"Great ""loft"" STUDIO--Gerstle Park, Charm + Close to Everything",1690, san rafael,440ft2
1865,Pets Welcome!,1690, rohnert pk / cotati,"1
700ft2"
1866,講中文 Open HOUSE Sat 2.23 1-3 PM 4 Plex 1 BD/1BA @ Garden Ave,1690, hayward / castro valley,"1
600ft2"
1867,New One Bed One Bath Apartment for Rent in City Alameda,1690, alameda,"1
620ft2"
1868,Classical furnished studio bedroom Apartment,1690, bayview,650ft2
1869,"GATED COMMUNITY,  W/D IN EVERY UNIT!! APPLY TODAY!",1690, pittsburg / antioch,"1
619ft2"
1870,Quaint Studio in Rockrdige (upper unit),1690, oakland rockridge / claremont,350ft2
1871,Newly renovated modern tiburon/belvedere cottage,1690, tiburon / belvedere,NA
1872,Make Waterstone Your New Home Pet Friendly !!,1692," Tracy,CA","1
693ft2"
1873,Extra Spacious 1 Bed Available Perfect Location Beautiful Interiors!!,1692," Tracy,CA","1
693ft2"
1874,Lovely One Bedroom! Ready Now! Must See Apartment Home! Call Now....,1692, napa county,"1
685ft2"
1875,We've Got The Perrrfect Place For You And Your Furry Friends!,1693, pittsburg / antioch,"1
644ft2"
1876,"Business Center, Online payment Accepted, Kirker Fit Studio, BBQ Area",1693, pittsburg / antioch,"1
644ft2"
1877,Great location! peaceful community,1695, fairfield / vacaville,"2
900ft2"
1878,Great location! peaceful community,1695, fairfield / vacaville,"2
900ft2"
1879,1 Bedroom Apartment! Coming Soon!!! Close TO BART!,1695,NA,"1
500ft2"
1880,LOOK!! LOOK!! LOOK!! 1BD 1BA coming soon!,1695,NA,"1
500ft2"
1881,Newly renovated 1 bedroom,1695, CONCORD,"1
644ft2"
1882,"$1695 - Updated 1 Bed, 1 Bath Upstairs Apartment near Japan Town/Secur",1695, san jose downtown,"1
600ft2"
1883,Newly Renovated one bedroom,1695, Concord,"1
644ft2"
1884,One Bedroom Apartment Ready Now! Take a look at our move in specials!,1695," hercules, pinole, san pablo, el sob","1
625ft2"
1885,Rent Special! Courtyard view4,1695, hayward / castro valley,1
1886,Garden Apartment Available! Rent Special!,1695, hayward / castro valley,"1
450ft2"
1887,Downtown Loft Apartment with High Ceilings,1695, santa rosa,1
1888,**BERKELEY*ONE BEDROOM*CLOSE TO TARGET**,1695, berkeley,1
1889,1 bed - beautiful unit - Concord - open house 6pm,1695, concord / pleasant hill / martinez,"1
650ft2"
1890,1 bed - beautiful unit - Concord - open house 6pm,1695, concord / pleasant hill / martinez,"1
650ft2"
1891,"Full Studio on MLK Jr Way, Oakland",1695, oakland downtown,215ft2
1892,One free month rent with a 12 month lease!,1695," hercules, pinole, san pablo, el sob","1
625ft2"
1893,❀ JR. 1x1- In Downtown Walnut Creek! 88 walk score!  ❀,1695, walnut creek,"1
554ft2"
1894,Fully Furnished Studio Located in Northside Berkeley!,1695, berkeley,NA
1895,LOOK!! LOOK!! LOOK!! 1BED 1 BATH!Coming in March/April!,1695,NA,"1
500ft2"
1896,One bedroom apartment ready now! March Move In Specials!,1695," hercules, pinole, san pablo, el sob","1
625ft2"
1897,Classic Updated Studio SO close to everything! $1695,1695, oakland lake merritt / grand,NA
1898,"$1695.00. Cute 1 bedroom, Close to BART!!!",1695, san leandro,1
1899,Welcome To Sandpiper Apartments *Ask About Our $200 Move-In Special,1695, san leandro,1
1900,Beautifully Renovated 1 BD |1 BA! No Application or credit check Fee!,1695, oakland east,1
1901,Live in Luxury in Positano!,1695, dublin / pleasanton / livermore,"1
600ft2"
1902,"South San Jose Large 1-Bed, 1-Bath",1695, san jose south,"1
606ft2"
1903,Renovated/Gated 1 bedroom in Condo - Lower Unit,1695," Concord,CA","1
644ft2"
1904,Beautiful Spacious 1 Bedroom Apartment in Castro Valley\,1695, hayward / castro valley,"1
620ft2"
1905,Newly Renovated 1bd/1ba Freshly Painted With New Carpet Now Available!,1695, san leandro,1
1906,"OPEN HOUSE, Friday, March 1, 2019 (4 PM to 7 PM) Studio $1695",1695, oakland lake merritt / grand,NA
1907,"Concord - Large 1Br/1Ba, Upstairs - near Fry's Electronics",1695, concord / pleasant hill / martinez,"1
700ft2"
